accuracy,loss,val_accuracy,val_loss,learning_rate,stage,epoch_in_stage,global_epoch
0.5421028733253479,1.342166781425476,0.6051912307739258,0.9501264691352844,0.0010000000474974513,head,1,1
0.6449704170227051,1.1190582513809204,0.6202185750007629,0.8961640000343323,0.0010000000474974513,head,2,2
0.6854801774024963,1.0205565690994263,0.6926229596138,0.7940326929092407,0.0010000000474974513,head,3,3
0.6950386762619019,0.9825747609138489,0.6571038365364075,0.8314992189407349,0.0010000000474974513,head,4,4
0.7241693139076233,0.9172120690345764,0.625683069229126,0.8653141856193542,0.0010000000474974513,head,5,5
0.7187073230743408,0.9069631695747375,0.6857923269271851,0.7876356840133667,0.0010000000474974513,head,6,6
0.7228038311004639,0.8933688402175903,0.7213114500045776,0.74138343334198,0.0010000000474974513,head,7,7
0.7278106212615967,0.8839399814605713,0.6584699749946594,0.7822386622428894,0.0010000000474974513,head,8,8
0.7428311109542847,0.868850588798523,0.6120218634605408,0.9008312821388245,0.0010000000474974513,head,9,9
0.7387346625328064,0.8487130999565125,0.7158470153808594,0.7274662852287292,0.0010000000474974513,head,10,10
0.7578516006469727,0.8201419711112976,0.6994535326957703,0.7439907193183899,9.999999747378752e-06,fine_tuning,1,11
0.7555757761001587,0.7937208414077759,0.6994535326957703,0.7520593404769897,9.999999747378752e-06,fine_tuning,2,12
0.7756031155586243,0.7702187895774841,0.6898906826972961,0.7412617802619934,9.999999747378752e-06,fine_tuning,3,13
0.7614929676055908,0.7784377336502075,0.7021858096122742,0.7388503551483154,1.9999999949504854e-06,fine_tuning,4,14
0.7674100995063782,0.7766258120536804,0.7008196711540222,0.7364796996116638,1.9999999949504854e-06,fine_tuning,5,15
