resolucao,quantidade,diagnosis,classe,percentual_na_classe
1050x1050,901,0,Sem retinopatia,49.92
2048x1536,351,0,Sem retinopatia,19.45
819x614,279,0,Sem retinopatia,15.46
2588x1958,231,0,Sem retinopatia,12.8
2416x1736,31,0,Sem retinopatia,1.72
1476x1117,10,0,Sem retinopatia,0.55
3216x2136,2,0,Sem retinopatia,0.11
2416x1736,234,1,Retinopatia leve,63.24
2588x1958,44,1,Retinopatia leve,11.89
1050x1050,19,1,Retinopatia leve,5.14
4288x2848,18,1,Retinopatia leve,4.86
3216x2136,13,1,Retinopatia leve,3.51
1844x1226,13,1,Retinopatia leve,3.51
3388x2588,13,1,Retinopatia leve,3.51
819x614,7,1,Retinopatia leve,1.89
2896x1944,6,1,Retinopatia leve,1.62
1504x1000,2,1,Retinopatia leve,0.54
3216x2136,307,2,Retinopatia moderada,30.73
2416x1736,233,2,Retinopatia moderada,23.32
2588x1958,165,2,Retinopatia moderada,16.52
3388x2588,91,2,Retinopatia moderada,9.11
1504x1000,63,2,Retinopatia moderada,6.31
1050x1050,39,2,Retinopatia moderada,3.9
640x480,33,2,Retinopatia moderada,3.3
1844x1226,28,2,Retinopatia moderada,2.8
2144x1424,22,2,Retinopatia moderada,2.2
4288x2848,11,2,Retinopatia moderada,1.1
2416x1736,60,3,Retinopatia severa,31.09
2588x1958,47,3,Retinopatia severa,24.35
3216x2136,32,3,Retinopatia severa,16.58
2896x1944,21,3,Retinopatia severa,10.88
1504x1000,9,3,Retinopatia severa,4.66
3388x2588,6,3,Retinopatia severa,3.11
640x480,5,3,Retinopatia severa,2.59
4288x2848,4,3,Retinopatia severa,2.07
2144x1424,3,3,Retinopatia severa,1.55
1476x1117,2,3,Retinopatia severa,1.04
2416x1736,80,4,Retinopatia proliferativa,27.12
3216x2136,56,4,Retinopatia proliferativa,18.98
2588x1958,46,4,Retinopatia proliferativa,15.59
3388x2588,31,4,Retinopatia proliferativa,10.51
1844x1226,19,4,Retinopatia proliferativa,6.44
4288x2848,19,4,Retinopatia proliferativa,6.44
1504x1000,18,4,Retinopatia proliferativa,6.1
1050x1050,13,4,Retinopatia proliferativa,4.41
640x480,4,4,Retinopatia proliferativa,1.36
2896x1944,4,4,Retinopatia proliferativa,1.36
