phase,epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
head,1,1.2323170881353838,0.6672735548475194,1.0932303080793286,0.7404371584699454,0.001
head,2,0.9965779868157604,0.7364588074647246,1.033718777484581,0.7390710382513661,0.001
head,3,0.9321564400147241,0.7592171142467,0.9450052878895744,0.7650273224043715,0.001
head,4,0.8993971439779591,0.7614929449248976,0.9281407135431884,0.7377049180327869,0.001
head,5,0.8741000425180739,0.7742375967228038,0.9355173951289693,0.7431693989071039,0.001
head,6,0.8515209873861002,0.7719617660446063,0.9184770711132737,0.7800546448087432,0.001
head,7,0.8257165033273606,0.780609922621757,0.9422459128450175,0.7786885245901639,0.001
head,8,0.8221743878690991,0.7774237596722804,0.8914306691435517,0.75,0.001
head,9,0.8148359281939704,0.7792444242148384,0.9198005795478821,0.7581967213114754,0.001
head,10,0.8046721361635162,0.7851615839781521,0.8751031262952773,0.7527322404371585,0.001
fine_tuning,1,0.7567417902679513,0.8047337278106509,0.8580006004356947,0.7800546448087432,1e-05
fine_tuning,2,0.7240009748995385,0.813837050523441,0.8345738326916929,0.773224043715847,1e-05
fine_tuning,3,0.6987047015833866,0.8233955393718707,0.8478105449285663,0.7745901639344263,1e-05
fine_tuning,4,0.6663109546473854,0.834319526627219,0.8182571124835093,0.7759562841530054,1e-05
fine_tuning,5,0.644345313025758,0.8406918525261721,0.8222217892037064,0.7800546448087432,1e-05
fine_tuning,6,0.6144183534462451,0.8502503413746018,0.8156912287727731,0.7800546448087432,1e-05
fine_tuning,7,0.6227586309802385,0.8488848429676832,0.81554307703112,0.7909836065573771,1e-05
fine_tuning,8,0.588496182634443,0.8561675011379153,0.8101135370184164,0.7978142076502732,1e-05
fine_tuning,9,0.5739858187921599,0.8711879836140192,0.8169390373542661,0.7937158469945356,1e-05
fine_tuning,10,0.54827438661821,0.8716431497496586,0.812775230798565,0.7841530054644809,1e-05
fine_tuning,11,0.5397103033556306,0.8711879836140192,0.8222208179411341,0.7814207650273224,1e-05
fine_tuning,12,0.533947635548843,0.8730086481565772,0.8270553946495056,0.7896174863387978,2.0000000000000003e-06
fine_tuning,13,0.49359064415253234,0.894401456531634,0.8502836735522161,0.7909836065573771,2.0000000000000003e-06
fine_tuning,14,0.5062458326884927,0.8830223031406463,0.8145611701441593,0.7937158469945356,2.0000000000000003e-06
