phase,epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
head,1,1.2323170881353838,0.6672735548475194,1.0932303080793286,0.7404371584699454,0.001
head,2,0.9965779868157604,0.7364588074647246,1.033718777484581,0.7390710382513661,0.001
head,3,0.9321564400147241,0.7592171142467,0.9450052878895744,0.7650273224043715,0.001
head,4,0.8993971439779591,0.7614929449248976,0.9281407135431884,0.7377049180327869,0.001
head,5,0.8741000425180739,0.7742375967228038,0.9355173951289693,0.7431693989071039,0.001
head,6,0.8515209873861002,0.7719617660446063,0.9184770711132737,0.7800546448087432,0.001
head,7,0.8257165033273606,0.780609922621757,0.9422459128450175,0.7786885245901639,0.001
head,8,0.8221743878690991,0.7774237596722804,0.8914306691435517,0.75,0.001
head,9,0.8148359281939704,0.7792444242148384,0.9198005795478821,0.7581967213114754,0.001
head,10,0.8046721361635162,0.7851615839781521,0.8751031262952773,0.7527322404371585,0.001
fine_tuning,1,0.7571436957331967,0.8038233955393719,0.8591690825634315,0.7786885245901639,1e-05
fine_tuning,2,0.7237429965828351,0.8124715521165226,0.834317115975208,0.7718579234972678,1e-05
fine_tuning,3,0.6986651854130914,0.8252162039144287,0.8475663559358628,0.7718579234972678,1e-05
fine_tuning,4,0.6677238847322772,0.832498862084661,0.8175071165209911,0.7745901639344263,1e-05
fine_tuning,5,0.6439178019802734,0.8402366863905325,0.8236611592965047,0.7814207650273224,1e-05
fine_tuning,6,0.6148512142324208,0.8507055075102412,0.8148952761634451,0.7786885245901639,1e-05
fine_tuning,7,0.6227337965435693,0.8475193445607647,0.8166433685138578,0.7855191256830601,1e-05
fine_tuning,8,0.5880612693269197,0.8579881656804734,0.8079665552397244,0.7950819672131147,1e-05
fine_tuning,9,0.5740237626695177,0.8734638142922166,0.8097569131460346,0.8005464480874317,1e-05
fine_tuning,10,0.5497331221536663,0.865725989986345,0.8066454363650963,0.7991803278688525,1e-05
fine_tuning,11,0.5394122982817343,0.867546654528903,0.8222457141172691,0.7841530054644809,1e-05
fine_tuning,12,0.5328570353642994,0.8689121529358216,0.818387897288213,0.7950819672131147,1e-05
fine_tuning,13,0.49722976482722997,0.8893946290395994,0.8428014526601697,0.7814207650273224,1e-05
fine_tuning,14,0.49635005215650047,0.8866636322257624,0.8186956551231321,0.796448087431694,2.0000000000000003e-06
fine_tuning,15,0.4680531920494684,0.9025944469731452,0.8248106778645125,0.7991803278688525,2.0000000000000003e-06
fine_tuning,16,0.4511016868275298,0.9053254437869822,0.8322781246216571,0.7991803278688525,2.0000000000000003e-06
